Components = 5
0.50    0.00    |       91      0.50    |       0       0.50
0.55    0.00    |       89      0.51    |       0       0.50
0.60    0.03    |       79      0.73    |       2       0.50
0.65    34.50   |       2       1.00    |       69      0.57
0.70    0.00    |       2       1.00    |       0       1.00
0.75    0.00    |       2       1.00    |       0       1.00
0.80    0.00    |       2       1.00    |       0       1.00
0.85    0.00    |       2       1.00    |       0       1.00
0.90    0.00    |       2       1.00    |       0       1.00
0.95    0.00    |       2       1.00    |       0       1.00
pearson_r = 0.9542956550470352

